wave,flux,err,fit
849.554,0.360564,0.272317,-1161.560067761710
849.728,0.211298,0.221037,-1157.392342737826
849.902,0.136797,0.220261,-1153.224831749791
850.077,0.135609,0.241750,-1149.057106003766
850.251,0.355959,0.251254,-1144.889594835618
850.425,0.539007,0.289852,-1140.722082597921
850.600,0.501053,0.339362,-1136.554147528789
850.774,0.462629,0.327518,-1132.386525382369
850.948,0.351942,0.337756,-1128.218695064880
851.122,0.604903,0.337282,-1124.051077290836
851.297,0.639628,0.347392,-1119.883139635195
851.471,0.747175,0.346964,-1115.715945894247
851.645,0.600195,0.378435,-1111.548222030423
851.820,0.670299,0.344921,-1107.380071563227
851.994,0.561390,0.322748,-1103.212453462382
852.168,0.416854,0.301002,-1099.044516847357
852.342,0.200724,0.278790,-1094.877112068453
852.517,0.200277,0.266952,-1090.709494689843
852.691,0.306345,0.265244,-1086.541558964630
852.865,0.270577,0.274797,-1082.373515412579
853.040,0.305500,0.294725,-1078.205898961990
853.214,0.304221,0.304143,-1074.038386520233
853.388,0.374155,0.303225,-1069.870449459238
853.563,0.443438,0.324203,-1065.702617213719
853.737,0.442183,0.324080,-1061.534570984172
853.911,0.476382,0.312946,-1057.366846145811
854.086,0.405435,0.323642,-1053.198696243805
854.260,0.473654,0.302572,-1049.030758116707
854.434,0.403208,0.291292,-1044.862712067980
854.608,0.466627,0.324623,-1040.694986101539
854.783,0.795971,0.326906,-1036.527048817632
854.957,0.905271,0.305104,-1032.358897914895
855.131,0.805393,0.334668,-1028.190958696066
855.306,0.311956,0.372634,-1024.023022775968
855.480,0.327281,0.359336,-1019.854978164357
855.654,0.395361,0.368608,-1015.686826120091
855.829,0.383725,0.406799,-1011.518889123587
856.003,0.499074,0.401646,-1007.350843943637
856.177,0.542716,0.363941,-1003.182799757736
856.352,0.525915,0.369147,-999.0149682815745
856.526,0.438476,0.384363,-994.8470311390186
856.700,0.565494,0.382394,-990.6786677875668
856.875,0.735649,0.394134,-986.5108388701753
857.049,0.776784,0.394809,-982.3427967940465
857.223,0.562708,0.407403,-978.1746478280164
857.397,0.730636,0.406525,-974.0066054337703
857.572,0.771369,0.406374,-969.8385634634208
857.746,0.939615,0.392317,-965.6709481078150
857.920,0.684971,0.404455,-961.5027989000777
858.095,0.557269,0.377512,-957.3347572286290
858.269,0.430008,0.336524,-953.1663955340919
858.443,0.355581,0.299500,-948.9984582717508
858.618,0.283995,0.300483,-944.8303094140884
858.792,0.447415,0.292830,-940.6619455566931
858.966,0.629071,0.277898,-936.4937971035774
859.141,0.710656,0.297303,-932.3257525666248
859.315,0.626564,0.312956,-928.1574974638066
859.489,0.597663,0.288044,-923.9890296044390
859.664,0.514473,0.287650,-919.8213063422187
859.838,0.567492,0.303481,-915.6529447851025
860.012,0.729255,0.286792,-911.4846910850874
860.186,0.728553,0.277874,-907.3163285072912
860.361,0.591541,0.285742,-903.1481278467069
860.535,0.400167,0.268593,-898.9800330159966
860.710,0.399721,0.259684,-894.8116735701627
860.884,0.533706,0.283170,-890.6434172919102
861.058,0.640140,0.291182,-886.4752709923584
861.232,0.773525,0.290240,-882.3070707154778
861.407,0.664639,0.297764,-878.1387104762032
861.581,0.529082,0.304856,-873.9704550365338
861.755,0.581153,0.288672,-869.8020423989890
861.930,0.606970,0.296162,-865.6337878044553
862.104,0.765729,0.303604,-861.4654281674029
862.278,0.684293,0.294841,-857.2972281890353
862.453,0.577050,0.278369,-853.1286552300095
862.627,0.416427,0.277687,-848.9602975659325
862.801,0.362535,0.252835,-844.7920433981519
862.976,0.362197,0.252480,-840.6237381598837
863.150,0.440356,0.268343,-836.4554332816410
863.324,0.518225,0.267951,-832.2869690352034
863.499,0.596365,0.283140,-828.1186087425368
863.673,0.673556,0.298636,-823.9501432674571
863.847,0.646225,0.305776,-819.7819985659798
864.022,0.775986,0.281788,-815.6134277369055
864.196,0.514170,0.288907,-811.4449640338801
864.370,0.513188,0.280330,-807.2765519182477
864.544,0.433886,0.287695,-803.1081409210694
864.719,0.666751,0.287546,-798.9397327892917
864.893,0.820677,0.310647,-794.7713218377236
865.068,0.870993,0.302600,-790.6029121182266
865.242,0.740431,0.302586,-786.4343964885678
865.416,0.635620,0.286672,-782.2658264946588
865.591,0.531609,0.285905,-778.0975232020573
865.765,0.710276,0.284978,-773.9287938716582
865.939,0.657806,0.284867,-769.7604379037970
866.114,0.682641,0.291582,-765.5917609653676
866.288,0.630035,0.290834,-761.4232454807391
866.462,0.552724,0.282515,-757.2545161271587
866.637,0.602688,0.274290,-753.0861057432957
866.811,0.449028,0.273897,-748.9174852339441
866.985,0.499060,0.265963,-744.7488642909099
867.160,0.497962,0.280970,-740.5802953803685
867.334,0.648813,0.288250,-736.4115664406527
867.508,0.799226,0.295711,-732.2429461533452
867.683,0.798169,0.295048,-728.0743260105701
867.857,0.671260,0.271916,-723.9055970890610
868.031,0.393654,0.263737,-719.7369236371055
868.206,0.367470,0.263258,-715.5682509135497
868.380,0.541841,0.270128,-711.3995789087281
868.554,0.748271,0.282937,-707.2309052102089
868.729,0.674044,0.334126,-703.0622845375162
868.903,0.700462,0.340273,-698.8935605520062
869.077,0.607318,0.338466,-694.7248890289180
869.252,0.644344,0.359486,-690.5561127946842
869.426,0.642834,0.371239,-686.3874937599359
869.600,0.754285,0.347688,-682.2186631571434
869.775,0.716304,0.336052,-678.0500468243619
869.949,0.453967,0.334281,-673.8812167645414
870.123,0.288953,0.346707,-669.7125979639275
870.298,0.534028,0.339911,-665.5436621941980
870.472,0.570434,0.343712,-661.3749377826739
870.646,0.535507,0.389645,-657.2060546290437
870.821,0.533813,0.395744,-653.0372255556409
870.995,0.533299,0.359286,-648.8682889239594
871.169,0.581765,0.364121,-644.6993529389327
871.344,0.410090,0.348810,-640.5306311236606
871.518,0.372869,0.313557,-636.3617497790310
871.692,0.444963,0.308884,-632.1928158164479
871.867,0.539190,0.302710,-628.0239888748248
872.041,0.646613,0.295689,-623.8552686107998
872.216,0.690958,0.367421,-619.6863908788487
872.390,0.502663,0.501082,-615.5176187682217
872.564,0.878096,0.631878,-611.3487410119542
872.738,1.09019,0.737117,-607.1798643148760
872.913,1.32233,0.828356,-603.0110924049009
873.087,0.971463,0.827472,-598.8421621912795
873.262,0.621762,0.826758,-594.6733383238155
873.436,0.852187,0.792742,-590.5043556635591
873.610,0.967089,0.788129,-586.3354791215185
873.785,1.08215,0.858319,-582.1664956371578
873.959,1.19511,0.928124,-577.9975138151508
874.133,1.30877,0.891753,-573.8285315941927
874.308,1.42276,0.853007,-569.6594968150946
874.482,0.845305,0.817156,-565.4905681018026
874.656,0.499018,0.744999,-561.3214796700829
874.831,0.383038,0.745780,-557.1523916285013
875.005,0.840558,0.741318,-552.9832512571106
875.179,0.954737,0.778015,-548.8142169075687
875.354,1.06827,0.811842,-544.6451306920767
875.528,0.724289,0.776410,-540.4759906356470
875.703,0.610044,0.773536,-536.3068509845140
875.877,0.722830,0.772415,-532.1377658913858
876.051,0.722081,0.683144,-527.9687350270860
876.226,0.608065,0.682066,-523.7995969069667
